@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
460               52.516149      60.853775
461               72.511509      30.051417
462               62.060846      46.853367
463               60.549727      49.166795
464               50.049665      64.212335
465               55.093004      57.224607
466               42.932797      73.215316
467               44.439886      71.398547
468               29.750179      86.819730
469               49.118459      65.449722
470               55.075770      57.249272
471               58.799844      51.802935
472               69.700285      34.693100
473               55.586280      56.516450
474               39.417204      77.254295
475               44.250071      71.630109
476               44.687707      71.095042
477               68.227669      37.091936
478               39.832212      76.792349
479               48.457857      66.317081
480               50.273051      63.912958
481               30.643626      86.035418
482               25.355819      90.366573
483               60.879006      48.665552
484               48.977846      65.635079
485               30.961852      85.751010
486               45.794119      69.723874
487               35.533554      81.377528
488               54.304874      58.347209
489               52.580217      60.765002
490               54.900865      57.499285
491               39.027536      77.684349
492               53.407621      59.611818
493               41.291718      75.135956
494               52.680430      60.626002
495               60.019173      49.971020
496               38.065870      78.730248
497               42.332804      73.924557
498               42.722686      73.464598
499               53.553988      59.406505
500               49.909474      64.399715
501               48.272968      66.558253
502               39.498133      77.164525
503               38.474604      78.288398
504               33.055009      83.814725
505               33.714351      83.181504
506               60.698442      48.940615
507               32.235401      84.586367
508               52.443230      60.954722
509               73.897159      27.736233
510               45.736483      69.795937
511               27.678871      88.556506
512               61.650781      47.484432
513               59.212129      51.186101
514               46.063761      69.385738
515               58.270117      52.591524
516               48.489273      66.276026
517               43.412281      72.642743
518               58.347242      52.477004
519               48.616474      66.109617
520               36.398901      80.490518
521               52.493758      60.884792
522               39.839531      76.784173
523               38.492879      78.268556
524               48.770461      65.907728
525               51.195116      62.667025
526               45.813153      69.700053
527               41.514665      74.878607
528               43.267936      72.815653
529               59.728562      50.409715
530               62.184577      46.662471
531               48.719860      65.974123
532               30.160749      86.461917
533               33.561259      83.329530
534               44.755726      71.011501
535               46.240113      69.163774
536               54.902401      57.497095
537               37.240348      79.610400
538               65.003681      42.256002
539               34.927669      81.987561
540               43.098047      73.018559
541               61.320405      47.991112
542               40.918930      75.563706
543               21.889370      92.790534
544               30.613046      86.062610
545               29.372511      87.144919
546               39.479654      77.185037
547               59.992022      50.012063
548               38.607054      78.144365
549               62.089307      46.809480
550               43.006705      73.127381
551               56.586358      55.067950
552               48.951166      65.670202
553               41.033952      75.432071
554               41.586007      74.796023
