@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
359               21.141108     -16.100744      12.083650      -6.457386       1.000000
360               12.432655      -9.423043       7.782798      -2.281497       1.000000
361               28.553371     -24.948175      13.350549      -3.827060       1.000000
362               16.312956     -12.920972       9.459581      -3.110841       1.000000
363               17.099293     -13.755957       9.725744      -2.927352       1.000000
364               15.922060     -12.256394       9.829008      -2.585224       1.000000
365               10.183679      -7.266428       5.855289      -4.077000       1.000000
366               19.659639     -14.682488      12.052443      -5.066025       1.000000
367               17.040451     -13.232803       9.921675      -4.102466       1.000000
368               16.202362     -13.489470       8.914626      -1.039306       1.000000
369               24.650795     -20.549522      13.279982      -3.003481       1.000000
370               18.366146     -14.899653       9.201026      -5.536852       1.000000
371                9.834594      -8.254171       5.224738      -1.135778       1.000000
372               14.537781     -11.503031       7.234926      -5.165576       1.000000
373               15.409133     -13.121092       8.049745      -0.692786       1.000000
374               16.612892     -13.514257       8.998907      -3.517481       1.000000
375               17.609364     -15.394027       8.358222      -1.803807       1.000000
376               21.904133     -17.861034      12.115441      -3.740398       1.000000
377               22.957735     -19.461416      12.178286       0.012687       1.000000
378               22.030266     -18.444145      11.948655      -1.541365       1.000000
379               30.557476     -24.782780      16.964390      -5.637611       1.000000
380               14.846573     -12.275630       8.093084      -2.057091       1.000000
381               30.451220     -24.382198      17.437197      -5.359980       1.000000
382               17.250380     -15.052100       8.419223      -0.355806       1.000000
383               12.374057     -10.241752       6.812405      -1.347195       1.000000
384               14.930597     -12.346343       8.102492      -2.200034       1.000000
385               21.364548     -17.536770      11.271047      -4.676446       1.000000
386               21.611782     -17.258787      12.605508      -3.210066       1.000000
387               15.746389     -11.624857      10.307907      -2.560963       1.000000
388               13.448213     -10.614902       7.781179      -2.762520       1.000000
389               30.914455     -23.183363      19.731836      -5.374927       1.000000
390                1.792311      -1.073066       1.068879      -0.958335       1.000000
391               11.521877      -8.408298       6.681333      -4.173004       1.000000
392               17.348497     -13.597786       9.558358      -4.970750       1.000000
393               14.379496     -11.259169       8.248993      -3.457620       1.000000
394               20.861315     -16.196795      12.524757      -3.998594       1.000000
395               24.052437     -20.371235      12.652167      -1.858815       1.000000
396               22.616673     -17.684761      13.011193      -5.428813       1.000000
397               16.653543     -12.917170      10.083661      -2.967657       1.000000
398               26.752392     -22.131165      14.249569      -4.780348       1.000000
399               19.876532     -16.931042       9.975834      -2.983125       1.000000
400               29.041676     -24.141876      15.116093      -5.665020       1.000000
401               20.661606     -17.710457      10.477011      -1.863839       1.000000
402               16.199192     -12.730975       9.391739      -3.483007       1.000000
403               14.761101     -10.660996       8.103180      -6.210615       1.000000
404               17.536283     -14.293900       9.924900      -2.168415       1.000000
405               25.290190     -19.941532      15.190255      -3.344414       1.000000
406               14.780008     -11.471131       8.909946      -2.733981       1.000000
407                7.182174      -5.110641       4.219157      -2.768337       1.000000
408               17.567604     -14.444906       9.627316      -2.698183       1.000000
409               26.054993     -20.806934      14.675818      -5.527614       1.000000
410               20.418760     -15.876198      11.404730      -5.899516       1.000000
411               27.473927     -19.825678      16.076309     -10.164220       1.000000
412               22.191404     -19.392303      10.520371      -2.391403       1.000000
413               20.828581     -15.680703      13.494213      -2.418994       1.000000
414               16.343054     -14.462567       7.581982      -0.665661       1.000000
415               22.768829     -15.663886      13.291851      -9.817788       1.000000
416               28.644201     -21.742508      17.699331      -5.872586       1.000000
417               17.708767     -14.721025       9.807423      -0.840413       1.000000
418               18.877117     -16.088835       9.633132      -2.167426       1.000000
419               17.640703     -14.208967      10.184025      -2.363327       1.000000
420               20.515451     -15.663235      11.320355      -6.884501       1.000000
421                9.477242      -7.034660       5.212771      -3.627493       1.000000
422               15.932563     -10.392914      10.095326      -6.627088       1.000000
423               19.817638     -16.967445      10.238564      -0.128137       1.000000
424               15.868417     -12.735609       8.939739      -3.113194       1.000000
425               24.508511     -19.930450      13.396458      -4.896852       1.000000
426               16.835751     -13.669708       9.705606      -1.543631       1.000000
427               12.655137      -8.747452       8.323408      -3.788860       1.000000
428               11.620703      -8.659154       6.417202      -4.345033       1.000000
429               12.843815     -10.646538       6.497787      -3.064892       1.000000
430               22.991034     -19.473957      11.149835      -5.003381       1.000000
431               17.678555     -14.287208      10.180203      -2.184139       1.000000
432               25.458693     -21.847052      13.041773      -0.873800       1.000000
433               21.870037     -15.071037      11.656070     -10.737710       1.000000
434               21.484436     -14.574963      11.796177     -10.488166       1.000000
435               17.455584     -13.432757      10.525829      -3.669517       1.000000
436               19.124441     -15.507638      10.038266      -4.948800       1.000000
437               22.266527     -16.456511      13.961101      -5.483536       1.000000
438               25.984840     -21.933184      13.710660      -2.482989       1.000000
439               15.530175     -10.516328       9.900516      -5.707275       1.000000
440               17.704689     -15.210693       9.038383       0.631224       1.000000
441               20.410511     -18.360863       8.907310      -0.357128       1.000000
442               18.770239     -15.653042       9.688159      -3.666574       1.000000
443               11.588677      -9.538406       6.084748      -2.508407       1.000000
444               22.701303     -18.825855      12.267084      -3.233424       1.000000
445               22.107969     -18.484402      11.733797      -3.067124       1.000000
446               20.669197     -16.476709      11.201932      -5.500042       1.000000
447               11.193264      -8.434690       6.160110      -4.024702       1.000000
448               23.353315     -16.257433      13.886595      -9.393389       1.000000
449               24.216719     -19.221462      14.331156      -3.406293       1.000000
450               19.382912     -16.566772       9.767173      -2.416956       1.000000
451               17.139492     -12.430449      10.942713      -4.416238       1.000000
452               11.285729      -9.651316       5.753508      -1.056850       1.000000
453               12.350880      -8.551293       7.732563      -4.430245       1.000000
454               11.825110      -9.160508       6.582834      -3.547482       1.000000
455               24.602007     -19.697493      14.444687      -2.935738       1.000000
456               22.062994     -16.856367      13.570180      -4.299864       1.000000
457               19.279528     -15.550228      10.397931      -4.666218       1.000000
458               16.812019     -12.853531       9.243740      -5.655439       1.000000
459               15.912233     -12.765881       9.155834      -2.530245       1.000000
460               13.822004      -9.153244       7.726260      -6.897162       1.000000
461               10.075155      -7.380805       6.390301      -2.489284       1.000000
462               14.412378     -12.505054       7.163777       0.143366       1.000000
463               14.124845      -9.955288       8.339729      -5.554494       1.000000
464               18.671017     -15.787054       9.079248      -4.116191       1.000000
465               15.562476     -10.943290       9.189618      -6.163279       1.000000
466               17.858381     -15.110867       9.170102      -2.548076       1.000000
467               24.327141     -20.973454      12.316619       0.474307       1.000000
468               30.653637     -26.266132      14.862328      -5.370935       1.000000
