@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
15080             38.331787     -34.733212     -11.580680     -11.349788
15081             28.974306     -26.583195      -9.219171      -6.917443
15082             35.706398     -25.281382      -2.455660     -25.095186
15083             29.321886     -26.351845     -12.776688      -1.452427
15084             33.709995     -28.323011     -17.814054      -4.102468
15085             35.551937     -30.440306      -0.838860     -18.347326
15086             41.531906     -35.056767     -18.305758     -12.681541
15087             28.984444     -27.776720      -1.410582       8.158556
15088             34.007011     -23.445915     -23.784086      -6.409617
15089             26.065718     -22.998226      -6.444766     -10.438786
15090             29.597015     -23.348141     -15.837435      -8.945571
15091             29.833906     -25.412189     -14.719304       5.255924
15092             38.351704     -33.902985     -17.105368      -5.370973
15093             34.069901     -24.968115     -11.968336     -19.852209
15094             28.429293     -16.571804     -15.694702     -16.949228
15095             39.349796     -29.970812     -19.508217     -16.419088
15096             36.300396     -29.385738      -4.489991     -20.833557
15097             22.094963     -21.494347      -4.930024      -1.369425
15098             40.284008     -38.451870     -11.349477      -3.929952
15099             37.828812     -34.894112      -9.245835     -11.310814
15100             36.601547     -34.784313      -9.835769      -5.743032
15101             27.798841     -14.596922     -18.737251     -14.443714
15102             32.609505     -29.768944     -12.655167      -4.127526
15103             35.081238     -27.035126     -14.856352     -16.705807
15104             30.130844     -26.903416     -13.028296      -3.786483
15105             31.382095     -29.572609      -7.979304      -6.828426
15106             35.284107     -34.872265      -3.077919      -4.406789
15107             32.318699     -29.589811      -9.725173      -8.623367
15108             34.610092     -33.200382      -5.901155      -7.795474
15109             34.712444     -31.881252     -13.704391      -0.853999
15110             34.138641     -33.872658      -2.689754       3.294707
15111             32.571030     -21.906082     -13.071195     -20.251900
15112             34.199772     -30.208609      -8.156854     -13.803268
15113             29.986959     -16.682499     -16.277306     -18.866936
15114             37.156029     -28.093931     -24.204952      -2.328480
15115             36.922043     -27.112858     -24.990007       1.905202
15116             30.881289     -28.744410     -11.162015      -1.679963
15117             36.763527     -29.760717     -19.624693      -8.984883
15118             40.404076     -37.263172     -15.569232       1.242741
15119             44.145695     -41.721748     -13.067052      -6.114752
15120             42.821453     -38.877552      -8.557871     -15.778967
15121             38.263088     -34.694695     -14.065376      -7.906158
15122             36.567978     -23.321175     -14.167623     -24.343750
15123             37.701221     -26.678698     -25.369637      -8.124691
15124             34.167084     -27.193645     -17.410179     -11.170531
15125             31.933758     -25.388430     -13.767841     -13.624943
15126             33.189632     -27.218037     -13.592342     -13.265686
15127             39.535595     -35.702114      -4.900933     -16.260481
15128             31.177176     -26.068565     -16.070570      -5.846618
15129             36.235432     -27.859085     -21.536480      -8.547390
15130             34.150379     -32.111347      -1.052505     -11.575918
15131             32.442886     -19.629599      -7.832593     -24.614429
15132             23.800901     -15.673904      -2.296619     -17.763367
15133             27.155338     -23.221926      -3.209463     -13.705983
15134             21.606495     -19.850965      -7.658213      -3.759202
15135             29.881334     -24.134184      -7.546858     -15.921063
15136             30.064674     -28.671547       5.143677      -7.441075
15137             34.749622     -29.850140      -4.943968     -17.089844
15138             27.970963     -22.633507     -12.491184     -10.680329
15139             28.382528     -20.274328     -10.603660     -16.795294
15140             42.218159     -35.755699      -7.075999     -21.303362
15141             20.682299     -11.065698       0.627384     -17.461792
15142             19.608425     -13.841108      -1.638626     -13.792351
15143             33.671585     -32.237194      -8.768862      -4.200734
15144             44.076828     -36.281452       7.907965     -23.746304
15145             30.308989     -24.428160     -16.273430      -7.554817
15146             42.289478     -29.741266       4.639763     -29.704033
15147             30.391039     -25.190489      -6.881773     -15.546567
15148             37.874664     -31.420357       1.564457     -21.090374
15149             27.997028     -25.154581       0.076923     -12.291248
15150             43.859268     -43.602299      -4.721048      -0.432115
15151             34.737541     -34.452297       4.384021      -0.718451
15152             36.400478     -34.488544      -3.868689     -10.980361
15153             33.702015     -32.501373       1.501637       8.788146
15154             31.208561     -25.399557      -4.395254     -17.593138
15155             30.180067     -26.543564      -4.374261     -13.679968
15156             37.120159     -35.586742       4.685894      -9.462150
15157             34.996590     -31.544785       0.923114     -15.127316
15158             42.912930     -39.197674      -7.509633     -15.769184
15159             32.903896     -30.349152     -12.712013       0.013114
15160             27.628262     -23.782495      -9.638951     -10.237396
15161             22.620558     -20.058044      -7.451353      -7.337697
15162             25.727079     -19.021347      -3.071697     -17.048038
15163             37.201149     -32.960167       1.680131     -17.167706
15164             25.087170     -23.959211      -3.113135      -6.755048
15165             27.308359     -24.194199       2.894166     -12.329276
15166             40.848225     -39.411530      -9.382594      -5.222616
15167             36.437160     -34.331417      -3.370872     -11.732757
15168             31.937580     -24.267340      -5.686417     -19.969225
15169             44.210808     -36.519215       0.235269     -24.917608
15170             39.101353     -31.232164      -8.001199     -22.123482
15171             35.868202     -34.369629     -10.110246      -1.743403
15172             44.216312     -43.040470     -10.048521       1.275678
15173             40.910675     -37.759308     -10.406571     -11.816145
15174             38.887505     -36.054886     -14.553707       0.687616
15175             53.839973     -46.694256      -7.586219     -25.706783
15176             49.455902     -48.496014      -9.481853      -2.029139
15177             39.763981     -32.588696     -19.886129     -11.121731
15178             44.089279     -40.235168     -15.275447      -9.573738
15179             42.021145     -40.286049       0.070463     -11.950143
15180             45.076073     -42.826725      -0.266358     -14.058905
15181             40.874672     -37.626930      -7.604256     -14.040232
15182             36.843548     -33.790287       1.831988     -14.570769
15183             40.392303     -39.831730      -6.681472      -0.573857
15184             36.670128     -33.625427      -0.804470     -14.607594
15185             34.245575     -31.601730     -10.141599      -8.440256
15186             39.081589     -37.065582       5.547044     -11.078958
15187             42.111977     -41.898880       0.400782      -4.212123
15188             42.761150     -41.529293      -5.486188      -8.586946
15189             47.414696     -44.230026     -13.415172     -10.577869
15190             34.957382     -27.655264     -12.094868     -17.632898
15191             41.981667     -37.051056      -5.360133     -18.998642
15192             37.468906     -35.646179     -11.134247      -3.049126
15193             27.330460     -23.660854     -11.698038      -7.090410
15194             40.093803     -32.680111     -23.098293      -2.447944
15195             31.059431     -24.074007      -4.878740     -19.008640
15196             40.444729     -35.395908     -15.442491     -12.018122
15197             39.499233     -36.996277     -11.846868      -7.149597
15198             49.053898     -46.190075      -9.675458     -13.384602
15199             41.524422     -39.643074      -3.261695     -11.919124
15200             34.274582     -33.401905       0.109858      -7.684249
15201             30.875305     -26.529278      -5.269312     -14.890141
15202             25.376022     -24.615871      -4.721526      -3.963409
15203             46.057434     -43.074589      -2.046190     -16.176538
15204             35.960510     -33.451317      -7.076720     -11.139467
15205             36.245354     -28.679668     -13.477016     -17.594667
15206             31.486404     -22.700527       2.190732     -21.708992
15207             26.128555     -20.826044      -3.970962     -15.271173
15208             39.926987     -28.926769     -20.991852     -17.797426
15209             39.769615     -36.627579      -5.283443     -14.564617
15210             27.928198     -20.864777     -10.518738     -15.297109
