@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
388               27.120829     -26.295593      -6.626755       0.408923
389               33.255592     -32.497860      -6.546387       2.639751
390               25.584211     -22.504591       2.643180     -11.878925
391               31.730301     -28.657915      -7.343353     -11.472183
392               27.336399     -26.364588      -6.484707      -3.183669
393               32.131332     -30.173594     -10.355828      -3.838452
394               28.237923     -25.544003     -11.935385      -1.559095
395               39.300037     -36.293983     -13.774308      -6.124368
396               33.172108     -27.939341      -3.701607     -17.495142
397               28.805542     -28.001638      -5.467005      -3.972327
398               31.022169     -28.527296       4.684442     -11.252748
399               25.598583     -16.371567      -7.596323     -18.153654
400               24.881908     -19.037760      -2.634369     -15.802948
401               31.001017     -22.723276     -11.050946     -17.960855
402               21.195673     -19.046576       1.772787      -9.129170
403               22.808468     -20.383455       1.351354     -10.144692
404               20.796480     -19.042444       3.599385      -7.544758
405               24.664646     -13.351634      -4.988400     -20.129444
406               24.814692     -19.425282      -6.181007     -14.150000
407               25.616999     -18.549223      -4.578892     -17.064312
408               28.877258     -24.863060      -0.628449     -14.674104
409               13.640878     -11.617620       0.965641      -7.083220
410               25.185745     -18.144730      -8.158965     -15.444153
411               24.122232     -22.804659      -2.207850      -7.546856
412               26.468662     -22.852079      -2.108142     -13.188187
413               26.678772     -26.635015      -0.873727      -1.252759
414               32.253975     -30.592873      -8.824060      -5.150833
415               28.357056     -24.255320       2.898931     -14.401327
416               30.861082     -27.695805       3.421466     -13.177341
417               22.865150     -18.161940       0.601459     -13.877940
418               26.362934     -19.852085     -15.156187      -8.437358
419               22.396536     -17.956245      -7.608972     -11.012793
420               26.081799     -24.446552      -7.980117      -4.352480
421               27.921406     -23.109056      -5.424591     -14.702045
422               25.603607     -25.280687       3.192661      -2.497689
423               18.989376     -17.109661      -5.597456      -6.043538
424               27.896994     -26.376480      -6.824916      -5.995341
425               24.282158     -22.409878      -8.031619      -4.786822
426               36.437073     -28.486073      -2.761270     -22.551706
427               21.422935     -21.173244      -2.743542      -1.763206
428               25.193720     -23.667704       0.536926      -8.618297
429               33.397160     -29.411001      -3.214509     -15.492910
430               29.458757     -27.651390      -1.190762     -10.089653
431               28.618046     -27.921602      -5.779224       2.444841
432               23.800318     -17.811123      -1.692849     -15.695647
433               21.556023     -13.005527      -7.206121     -15.607376
434               26.344526     -24.210121       8.670220      -5.721135
435               31.360392     -31.030161      -4.423980       1.015695
436               16.876993     -12.154749      -8.495663      -8.057214
437               26.999981     -21.804949     -14.288825      -7.026571
438               26.989182     -23.953266      -7.399071      -9.995531
439               25.048851     -19.757519       0.064386     -15.397442
440               25.034782     -23.964348       5.369864      -4.859521
441               34.214985     -29.335125     -13.627958     -11.153228
442               30.030550     -21.548634      -5.457221     -20.191809
443               32.906006     -29.884699       8.686194     -10.689249
444               28.640646     -16.925640       0.061794     -23.104231
445               20.326569      -8.682741      -3.512196     -18.040062
446               18.912649     -18.029634      -5.599575       1.124857
447               23.732733     -23.195860      -1.518892      -4.784108
448               22.300406     -21.971615       3.642962      -1.133611
449               26.318748     -24.102167     -10.109140      -3.093106
450               23.609577     -13.318762       1.030697     -19.466904
451               25.623020     -24.720161      -3.902268      -5.497736
452               26.141205     -21.333963       1.664878     -15.015085
453               19.820553     -12.202557     -11.906975     -10.108209
454               31.721270     -20.391054      -4.227355     -23.928503
