@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
992               52.264919      61.201139
993               61.424915      47.831005
994               53.414434      59.602256
995               40.451346      76.095726
996               72.204113      30.562695
997               49.953114      64.341431
998               44.537192      71.279529
999               42.973805      73.166544
1000              52.997514      60.184964
1001              48.061415      66.833365
1002              56.073857      55.812375
1003              44.377491      71.474745
1004              47.126731      68.037907
1005              55.446791      56.717138
1006              40.726574      75.783178
1007              51.340156      62.469555
1008              28.318966      88.032049
1009              39.240978      77.449236
1010              45.686858      69.857949
1011              55.409484      56.770758
1012              63.946730      43.920661
1013              49.361895      65.127903
1014              46.218647      69.190827
1015              23.477165      91.721892
1016              67.353914      38.503773
1017              45.210137      70.450860
1018              76.883570      22.693054
1019              54.052040      58.705017
1020              40.467645      76.077264
1021              57.808977      53.274367
1022              65.213675      41.923551
1023              69.431161      35.133249
1024              37.496120      79.339454
1025              70.816469      32.859519
1026              46.746990      68.522128
1027              46.820159      68.429057
1028              52.845596      60.396505
1029              50.041713      64.222975
1030              74.768041      26.272736
1031              43.640893      72.367947
1032              18.351379      94.914359
1033              54.683341      57.809480
1034              57.615182      53.560300
1035              43.141425      72.966800
1036              41.153199      75.295266
1037              48.746380      65.939320
1038              61.191539      48.188314
1039              55.203251      57.066698
1040              30.589425      86.083589
1041              32.231726      84.589800
1042              24.105312      91.279636
1043              32.788445      84.067579
