@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
333               24.393219     -20.079742      13.311698      -3.825152       1.000000
334               15.120373     -13.033028       7.664960       0.119428       1.000000
335               15.096265     -11.331972       8.781791      -4.729035       1.000000
336               14.519095     -12.199065       7.718288      -1.554013       1.000000
337               23.653587     -17.315380      14.209253      -7.600452       1.000000
338               12.992083     -10.219349       7.861294      -1.599748       1.000000
339               18.908924     -15.345982      10.606405      -3.090696       1.000000
340               19.631777     -16.397966      10.464013      -2.649108       1.000000
341               15.599500     -11.682616       9.460379      -4.166786       1.000000
342               24.094719     -21.354643      10.690130      -3.202465       1.000000
343               15.328679     -11.796041       9.256230      -3.184970       1.000000
344               17.321081     -14.361842       9.657484      -0.700262       1.000000
345               19.831867     -14.006042      13.083109      -5.095684       1.000000
346               13.594348     -11.379764       7.387472       0.855883       1.000000
347               23.577635     -19.992386      12.492994      -0.366662       1.000000
348               26.454472     -23.356318      11.989420      -3.251969       1.000000
349               24.422091     -20.922922      12.568780      -0.833989       1.000000
350               22.805708     -20.274736      10.278528      -1.840436       1.000000
351               10.698318      -9.332633       5.128533       1.026697       1.000000
352               20.464556     -16.035715      12.305830      -3.196938       1.000000
353               14.483999     -10.029550       9.852443      -3.481917       1.000000
354               22.259363     -18.668169      11.543090      -3.706179       1.000000
355               20.191032     -16.889153      10.716893      -2.753634       1.000000
356               10.713290      -9.415482       4.751009       1.884467       1.000000
357               15.000009     -12.318216       8.436286      -1.445985       1.000000
358               15.345288     -12.531255       8.323092      -3.028474       1.000000
359               14.913787     -12.928228       7.068633      -2.305728       1.000000
360               13.763550     -10.632931       8.463941      -2.176647       1.000000
361               17.671978     -10.366495      11.357448      -8.708786       1.000000
362               14.325673     -12.303119       7.249695      -1.140218       1.000000
363               14.386221     -12.335035       7.066617      -2.207527       1.000000
364               18.786980     -15.627247      10.235292      -1.994632       1.000000
365               23.089058     -17.612110      14.477368      -3.650192       1.000000
366               26.884867     -22.508831      14.639998      -1.348684       1.000000
367               15.480200     -12.614620       8.620693      -2.488292       1.000000
368               21.793543     -17.848059      11.476977      -4.968332       1.000000
369               20.918377     -17.562147      11.363040      -0.175489       1.000000
370               13.509938     -10.393252       8.631196       0.034436       1.000000
371               14.203133      -9.971510       9.191343      -4.221039       1.000000
372               22.212984     -18.530535      12.160553      -1.468622       1.000000
373               10.913534      -8.814731       6.368341      -0.921942       1.000000
374               11.344242      -9.576532       5.902410      -1.464043       1.000000
375               16.355312     -14.135489       8.221428       0.303830       1.000000
376               10.813616      -8.798129       6.246956      -0.709057       1.000000
377               19.068090     -14.182846      11.768654      -4.892621       1.000000
378               26.131235     -19.909903      14.922327      -7.985076       1.000000
379                4.968900      -3.529963       3.355151      -0.986048       1.000000
380               18.636269     -15.603911       9.369605      -4.004866       1.000000
381               15.312516     -12.217128       8.887283      -2.496227       1.000000
382               16.197395     -12.157179       9.885077      -4.104125       1.000000
383               15.511487     -12.738840       8.808125      -0.863198       1.000000
384               12.112943     -10.081758       6.661505      -0.840172       1.000000
385               11.560676      -9.168478       7.033642       0.340755       1.000000
386               12.636256     -10.227861       7.334091      -1.130012       1.000000
387               20.253105     -16.704412      11.033476      -3.068106       1.000000
388               16.956165     -13.518164      10.221192      -0.545921       1.000000
389               22.498226     -18.221821      13.195249       0.144414       1.000000
390               20.268513     -14.535850      13.537224      -4.033020       1.000000
391               20.756598     -17.193535      11.464803      -1.943443       1.000000
392               17.175972     -13.574639      10.419706      -1.474085       1.000000
393               18.406052     -14.717577      10.883505      -1.930020       1.000000
394               16.077751     -13.913895       7.952666       1.285583       1.000000
395               24.569868     -21.103710      12.482550      -1.580447       1.000000
396               24.168364     -19.764696      13.126395      -4.600478       1.000000
397               21.431395     -18.279099      11.019094      -1.938775       1.000000
398               25.987022     -20.657364      15.728794      -1.097157       1.000000
399               10.089188      -9.086075       4.315664       0.781022       1.000000
400               17.509262     -14.492515       9.191302      -3.472931       1.000000
401               13.968593     -12.510415       6.093955       1.214422       1.000000
402               17.514757     -14.285525       9.960692      -1.864156       1.000000
403               19.977499     -17.681192       8.920716      -2.626168       1.000000
404               17.996244     -14.844720      10.154897      -0.614164       1.000000
405               10.537428      -8.239488       6.363777      -1.628055       1.000000
406               11.819718     -10.088666       6.008000       1.352222       1.000000
407               13.239607      -9.194870       9.127364      -2.726317       1.000000
408               22.038471     -19.061207      10.988362      -1.272983       1.000000
409               10.637154      -8.196614       6.580003      -1.633434       1.000000
410               13.417646     -10.884502       7.347942      -2.751105       1.000000
411               17.933935     -15.714151       8.290378       2.441540       1.000000
412               18.362474     -13.717645      11.645563      -3.658899       1.000000
413               21.992887     -18.505560      11.848946      -0.913130       1.000000
414               21.892298     -18.529922      11.387286      -2.498875       1.000000
415               21.177107     -16.727800      12.981728      -0.354039       1.000000
416               25.631290     -21.095119      14.451298      -1.766072       1.000000
417               15.294106     -12.646664       8.600400       0.068529       1.000000
418                9.667789      -8.233525       5.016239      -0.715928       1.000000
419               11.994943      -8.700774       7.275179      -3.904734       1.000000
420               14.877218     -11.356356       8.955823      -3.486841       1.000000
421               16.753950     -14.440857       8.481093       0.477026       1.000000
422               21.325523     -16.052389      13.922433      -1.806821       1.000000
423               10.771033      -8.545348       6.479334      -1.005198       1.000000
424               16.899385     -12.946392      10.529964      -2.664579       1.000000
425               14.348166     -11.412804       8.098851      -3.166449       1.000000
426               23.062027     -18.698841      13.402702      -1.605597       1.000000
427               16.534473     -13.925481       8.787081      -1.502340       1.000000
428               20.023901     -16.070875      11.830129      -1.652764       1.000000
429               24.145140     -17.351906      14.880260      -7.776701       1.000000
430               23.538866     -18.843367      13.251451      -4.837853       1.000000
431               18.384798     -14.607207       9.925880      -5.109519       1.000000
432               15.911031     -12.333673       9.541506      -3.162449       1.000000
433               10.150529      -8.395961       5.319088      -2.061163       1.000000
434               25.537086     -21.472168      13.590158      -2.529112       1.000000
435               17.449150     -11.590316      10.789248      -7.330047       1.000000
436                5.696200      -4.566958       3.339918      -0.659197       1.000000
437                9.543885      -7.820690       5.466881       0.189097       1.000000
438               16.896709     -14.416434       8.797015      -0.527019       1.000000
439               17.492477     -14.443503       9.781955      -1.298214       1.000000
440               23.280321     -19.050217      12.984380      -3.235507       1.000000
441               15.654388     -12.139751       9.700296      -1.894877       1.000000
442               17.605883     -14.279169       9.913549      -2.791775       1.000000
443               29.422867     -24.743334      15.883114       1.095097       1.000000
444               18.631763     -14.219297      11.135130      -4.578547       1.000000
445                7.606003      -6.811056       3.335664      -0.578055       1.000000
446                8.536107      -5.898351       5.367623      -3.043552       1.000000
447               17.426275     -13.485932      10.926022      -1.557808       1.000000
448               19.140350     -14.513964      12.169962      -2.754972       1.000000
449               14.082874     -11.481842       8.083861      -1.070431       1.000000
450               15.593642     -11.469600       9.724282      -4.128959       1.000000
451               18.690298     -15.122792      10.555699      -3.034069       1.000000
452               19.514622     -16.501194      10.389699      -0.765035       1.000000
453                4.606833      -3.340617       2.840369      -1.412617       1.000000
454               16.499233     -13.316212       9.588267      -1.722888       1.000000
455               22.924702     -17.946123      13.015993      -5.836309       1.000000
456               18.780991     -15.924550       9.743971      -2.046792       1.000000
457               14.683859     -12.042106       8.177896      -1.930137       1.000000
458               14.285610     -10.700782       9.114960      -2.547438       1.000000
459               14.887875     -11.905165       8.939098       0.091598       1.000000
460               20.700640     -17.105186      11.025657      -3.789976       1.000000
461               19.972075     -16.269903      11.162458      -3.094117       1.000000
462               18.626537     -15.143837      10.567039      -2.439224       1.000000
